song,artist,popularity,release_year,danceability,energy,loudness,tempo,key
Drunk in Love (feat. Jay-Z),Beyoncé,70,2014,0.589,0.621,-6.902,140.03,5
I Write Sins Not Tragedies,Panic! At The Disco,70,2005,0.566,0.815,-4.481,169.961,9
Far Away,Nickelback,70,2005,0.518,0.797,-5.153,132.918,6
Rise,Jonas Blue,70,2018,0.687,0.785,-4.65,106.046,1
X Gon' Give It To Ya,DMX,70,2007,0.761,0.899,-3.09,95.027,10
I'm On One,DJ Khaled,70,2011,0.413,0.807,-3.499,149.33,11
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,Jennifer Lopez,70,2002,0.845,0.768,-5.448,100.0,6
You Make Me Feel... (feat. Sabi),Cobra Starship,70,2011,0.668,0.857,-2.944,131.959,7
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,70,2006,0.687,0.723,-4.751,76.0,7
Your Love Is My Drug,Kesha,69,2010,0.826,0.612,-3.891,120.057,1
Post Malone (feat. RANI),Sam Feldt,69,2019,0.59,0.642,-3.87,107.356,7
Same Old Love,Selena Gomez,69,2015,0.672,0.593,-4.01,98.02,11
The Git Up,Blanco Brown,69,2019,0.847,0.678,-8.635,97.984,9
11-Jul,Beyoncé,69,2014,0.747,0.705,-5.137,136.024,9
2 Phones,Kevin Gates,69,2016,0.895,0.681,-5.267,121.918,7
Ladbroke Grove,AJ Tracey,69,2019,0.903,0.839,-9.447,133.986,11
Sing,Ed Sheeran,69,2014,0.818,0.67,-4.451,119.988,8
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,69,2013,0.832,0.659,-7.828,100.163,10
Addicted,Saving Abel,69,2008,0.512,0.864,-4.146,138.018,7
NO,Meghan Trainor,69,2017,0.557,0.803,-3.599,92.134,1
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,69,2019,0.872,0.814,-4.568,98.985,0
A Milli,Lil Wayne,69,2008,0.674,0.695,-8.636,151.486,6
Lollipop,Lil Wayne,69,2008,0.829,0.428,-9.469,148.075,0
Carry Out (Featuring Justin Timberlake),Timbaland,69,2009,0.531,0.574,-6.693,115.68,10
Fancy,Iggy Azalea,69,2014,0.912,0.716,-4.141,94.981,10
I'm a Slave 4 U,Britney Spears,69,2001,0.847,0.843,-3.579,110.027,5
Come & Get It,Selena Gomez,69,2013,0.546,0.787,-4.1,79.979,7
Put On,Jeezy,69,2008,0.654,0.77,-6.091,137.616,9
gone girl,iann dior,69,2019,0.677,0.714,-5.637,94.956,11
Right Now (Na Na Na),Akon,69,2008,0.83,0.857,-4.194,137.982,8
The Time (Dirty Bit),Black Eyed Peas,69,2010,0.816,0.813,-7.798,127.979,6
You Know You Like It,DJ Snake,69,2014,0.407,0.725,-5.346,196.093,5
Teenage Dream,Katy Perry,69,2010,0.719,0.798,-4.582,120.011,10
Sick Boy,The Chainsmokers,69,2018,0.663,0.577,-7.518,89.996,11
Mercy,Duffy,69,2008,0.793,0.859,-3.774,129.911,0
Play Hard (feat. Ne-Yo & Akon),David Guetta,69,2012,0.691,0.921,-1.702,130.072,8
We Own It (Fast & Furious),2 Chainz,69,2013,0.563,0.902,-4.586,171.999,1
Every Teardrop Is a Waterfall,Coldplay,69,2011,0.425,0.732,-6.883,117.98,9
Best Thing I Never Had,Beyoncé,69,2011,0.545,0.649,-4.062,99.099,6
Sin Pijama,Becky G,69,2018,0.791,0.745,-3.695,94.014,11
Everyday,Logic,69,2018,0.667,0.741,-4.099,149.908,1
Coming Home,Diddy - Dirty Money,69,2010,0.392,0.839,-1.921,168.001,7
Only Time,Enya,69,2000,0.418,0.249,-13.744,82.803,3
Pray For Me (with Kendrick Lamar),The Weeknd,69,2018,0.735,0.677,-4.979,100.584,2
Chasing The Sun,The Wanted,69,2012,0.637,0.732,-6.209,128.108,7
When Love Takes Over (feat. Kelly Rowland),David Guetta,69,2010,0.675,0.862,-4.614,129.967,11
Yeah 3x,Chris Brown,69,2011,0.705,0.882,-3.201,130.0,11
Sandstorm,Darude,69,2001,0.528,0.965,-7.984,136.065,11
Chained To The Rhythm,Katy Perry,69,2017,0.562,0.8,-5.404,95.029,0
If U Seek Amy,Britney Spears,69,2008,0.717,0.587,-7.296,129.954,4
Keisha & Becky - Remix,Russ Millions,69,2019,0.863,0.471,-9.545,140.969,6
Fetish (feat. Gucci Mane),Selena Gomez,69,2017,0.708,0.618,-4.424,123.013,2
Telephone,Lady Gaga,69,2009,0.824,0.836,-5.903,122.014,3
LoveGame,Lady Gaga,69,2008,0.894,0.678,-5.611,105.024,6
Rolex,Ayo & Teo,69,2017,0.804,0.886,-2.512,144.946,1
Youngblood,5 Seconds of Summer,69,2018,0.596,0.854,-5.114,120.274,7
Close,Nick Jonas,69,2016,0.654,0.623,-5.273,123.996,6
The London (feat. J. Cole & Travis Scott),Young Thug,69,2019,0.796,0.586,-6.946,97.981,4
Leave Me Alone,Flipp Dinero,69,2019,0.792,0.743,-2.806,150.024,7
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,2012,0.658,0.677,-6.628,124.91,5
Corazón (feat. Nego do Borel),Maluma,69,2018,0.722,0.738,-6.073,198.075,9
You Don't Own Me (feat. G-Eazy),SAYGRACE,69,2016,0.332,0.635,-5.653,186.249,7
Youth of the Nation,P.O.D.,69,2001,0.563,0.86,-7.533,97.867,8
Blow,Kesha,69,2010,0.753,0.729,-3.862,120.013,11
Rockstar,Nickelback,69,2005,0.616,0.91,-3.004,144.072,0
Hollaback Girl,Gwen Stefani,69,2004,0.926,0.916,-2.221,110.007,10
What Hurts The Most,Rascal Flatts,69,2006,0.537,0.674,-5.134,136.002,5
Dakota,Stereophonics,69,2005,0.506,0.93,-3.499,146.994,4
My Sacrifice,Creed,69,2001,0.32,0.88,-6.035,146.349,2
"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",Diddy,69,2004,0.713,0.471,-7.392,199.764,1
Grace Kelly,MIKA,69,2006,0.675,0.828,-5.799,122.229,0
Be Without You - Kendu Mix,Mary J. Blige,69,2005,0.726,0.7,-5.881,146.559,2
Yo (Excuse Me Miss),Chris Brown,69,2005,0.536,0.612,-5.847,86.768,4
Superstar,Jamelia,69,2003,0.801,0.645,-6.93,110.01,1
Speed of Sound,Coldplay,69,2005,0.514,0.898,-6.765,123.067,11
Rock This Party - Everybody Dance Now,Bob Sinclar,69,2006,0.893,0.823,-3.708,128.009,5
Out Of Reach,Gabrielle,69,2001,0.51,0.48,-6.567,182.862,11
Right Thurr,Chingy,69,2003,0.866,0.749,-3.977,92.074,2
We Belong Together,Mariah Carey,69,2005,0.84,0.476,-7.918,139.987,0
Shut Up And Drive,Rihanna,69,2008,0.735,0.826,-4.902,132.964,1
Country Grammar (Hot Shit),Nelly,68,2000,0.865,0.664,-6.822,162.831,2
Man Down,Rihanna,68,2010,0.47,0.904,-4.024,155.788,0
Someday,Nickelback,68,2003,0.455,0.858,-5.659,163.118,11
Sonnentanz - Sun Don't Shine,Klangkarussell,68,2014,0.579,0.549,-8.262,119.74,5
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Christina Aguilera,68,2001,0.76,0.801,-3.769,109.919,5
In the Shadows,The Rasmus,68,2003,0.6,0.796,-4.481,105.991,2
Sweat - Remix,Snoop Dogg,68,2011,0.813,0.732,-5.636,130.02,7
Boom Boom Pow,Black Eyed Peas,68,2009,0.867,0.857,-5.892,130.048,9
Deuces (feat. Tyga & Kevin McCall),Chris Brown,68,2011,0.692,0.736,-5.109,73.987,1
Again,Lenny Kravitz,68,2000,0.55,0.804,-5.218,79.166,2
She Wolf,Shakira,68,2009,0.865,0.69,-7.448,121.983,7
I Love It (feat. Charli XCX),Icona Pop,68,2013,0.711,0.906,-2.671,125.916,8
Chelsea Dagger,The Fratellis,68,2006,0.511,0.815,-3.14,154.514,7
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,68,2018,0.783,0.61,-6.124,100.047,7
Where Is The Love?,Black Eyed Peas,68,2003,0.835,0.687,-3.18,94.059,5
My Love,Westlife,68,2000,0.491,0.593,-5.975,144.142,0
Clout (feat. Cardi B),Offset,68,2019,0.919,0.622,-7.384,140.022,1
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,68,2016,0.716,0.908,-3.254,91.03,8
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,68,2012,0.509,0.79,-3.782,127.946,6
I Know What You Want (feat. Flipmode Squad),Busta Rhymes,68,2002,0.648,0.759,-4.315,85.996,6
If We Ever Meet Again (Featuring Katy Perry),Timbaland,68,2009,0.652,0.605,-7.371,126.091,8
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,68,2007,0.435,0.887,-4.07,199.935,9
Show Me (feat. Chris Brown),Kid Ink,68,2014,0.711,0.508,-7.299,98.098,7
Burnin' Up,Jonas Brothers,68,2008,0.667,0.954,-3.462,114.03,2
My Chick Bad,Ludacris,68,2010,0.624,0.723,-6.782,84.789,1
Because I Got High,Afroman,68,2001,0.802,0.341,-8.56,166.01,7
The Greatest (feat. Kendrick Lamar),Sia,68,2016,0.668,0.725,-6.127,191.944,1
Right Above It,Lil Wayne,68,2010,0.376,0.841,-4.348,76.052,3
Take It Off,Kesha,68,2010,0.729,0.675,-5.292,125.036,5
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,68,2016,0.367,0.915,-3.456,110.169,9
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,68,2016,0.632,0.702,-5.92,162.958,7
I'm Upset,Drake,68,2018,0.899,0.586,-7.866,150.002,11
Purple Pills,D12,68,2001,0.78,0.634,-5.941,125.25,1
Lifestyles of the Rich & Famous,Good Charlotte,68,2002,0.62,0.93,-3.685,106.22,1
Breathless,The Corrs,68,2000,0.607,0.82,-7.754,126.988,11
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,68,2018,0.745,0.346,-7.709,203.911,1
Get Ur Freak On,Missy Elliott,68,2001,0.797,0.75,-9.369,177.87,0
Like a Boy,Ciara,68,2006,0.701,0.724,-5.751,132.035,0
Dirrty (feat. Redman),Christina Aguilera,68,2002,0.64,0.889,-3.073,99.931,2
Get the Party Started,P!nk,68,2001,0.802,0.903,-3.267,128.93,11
When I'm Gone,Eminem,68,2005,0.618,0.746,-5.476,75.272,10
Trap Queen,Fetty Wap,68,2015,0.746,0.873,-3.803,148.075,7
Kiss Kiss (feat. T-Pain),Chris Brown,68,2007,0.729,0.658,-3.386,140.043,10
"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",The Notorious B.I.G.,68,2005,0.833,0.628,-7.041,106.328,2
Buttons,The Pussycat Dolls,68,2005,0.565,0.817,-4.338,210.851,2
When You're Gone,Avril Lavigne,68,2007,0.457,0.719,-3.921,142.034,4
Rich Girl,Gwen Stefani,68,2004,0.856,0.754,-2.728,98.018,7
Reload - Radio Edit,Sebastian Ingrosso,68,2013,0.485,0.724,-4.633,128.045,9
Ghetto Gospel,2Pac,68,2004,0.794,0.614,-5.352,80.569,5
Rock DJ,Robbie Williams,68,2000,0.708,0.772,-4.264,103.035,7
My Happy Ending,Avril Lavigne,68,2004,0.414,0.936,-2.407,170.229,2
No Promises (feat. Demi Lovato),Cheat Codes,68,2017,0.741,0.667,-5.445,112.956,10
Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,68,2011,0.578,0.946,-3.85,126.092,11
Dead And Gone,T.I.,68,2008,0.713,0.746,-4.99,135.021,0
Candy,Robbie Williams,68,2012,0.715,0.791,-6.63,116.043,10
Sing,Travis,68,2001,0.33,0.905,-5.047,163.142,4
Let It All Go,Birdy,68,2015,0.383,0.43,-8.644,107.005,10
1973,James Blunt,68,2007,0.72,0.668,-7.928,123.007,9
Slippery (feat. Gucci Mane),Migos,68,2017,0.92,0.675,-5.661,141.967,1
Breaking the Habit,Linkin Park,68,2003,0.579,0.849,-5.218,100.021,4
#thatPOWER,will.i.am,68,2013,0.797,0.608,-6.096,127.999,6
Dance Wiv Me - Radio Edit,Dizzee Rascal,68,2011,0.878,0.746,-4.281,111.996,11
New Divide,Linkin Park,68,2009,0.493,0.808,-3.365,117.971,5
Smile,Lily Allen,68,2006,0.632,0.639,-5.938,95.506,5
I'm Still in Love with You (feat. Sasha),Sean Paul,68,2002,0.765,0.666,-5.384,87.002,7
Lighters,Bad Meets Evil,68,2011,0.676,0.695,-8.327,90.268,0
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,68,2015,0.589,0.658,-5.288,77.521,11
Little Lion Man,Mumford & Sons,68,2009,0.517,0.492,-8.05,138.585,5
22,Taylor Swift,68,2012,0.661,0.729,-6.561,103.987,7
My Life Would Suck Without You,Kelly Clarkson,68,2009,0.526,0.882,-4.006,144.982,9
Love Me,Lil Wayne,68,2013,0.669,0.634,-6.476,124.906,11
Milkshake,Kelis,68,2003,0.881,0.774,-6.068,112.968,1
Brianstorm,Arctic Monkeys,67,2007,0.42,0.974,-4.706,165.182,1
2U (feat. Justin Bieber),David Guetta,67,2017,0.548,0.65,-5.827,144.937,8
Where the Party At (feat. Nelly),Jagged Edge,67,2001,0.596,0.661,-6.239,129.491,5
Alejandro,Lady Gaga,67,2009,0.623,0.793,-6.63,98.998,11
Rake It Up (feat. Nicki Minaj),Yo Gotti,67,2017,0.91,0.444,-8.126,149.953,1
Second Chance,Shinedown,67,2008,0.46,0.796,-4.501,100.011,0
Single Ladies (Put a Ring on It),Beyoncé,67,2008,0.426,0.584,-5.293,193.437,1
Skin,Rag'n'Bone Man,67,2017,0.564,0.745,-7.733,170.661,0
Move Your Feet,Junior Senior,67,2002,0.747,0.904,-2.623,118.877,9
Fighter,Christina Aguilera,67,2002,0.435,0.92,-1.357,188.899,4
Never Say Never,The Fray,67,2009,0.23,0.492,-5.767,160.139,8
Te Amo,Rihanna,67,2009,0.567,0.707,-5.455,171.917,8
Beautiful,Snoop Dogg,67,2005,0.893,0.74,-4.936,101.025,11
When I'm Gone,3 Doors Down,67,2002,0.53,0.768,-5.611,148.095,7
America,Razorlight,67,2006,0.447,0.568,-4.975,90.933,2
Ain't My Fault,Zara Larsson,67,2017,0.576,0.782,-4.825,141.153,6
High By The Beach,Lana Del Rey,67,2015,0.536,0.486,-11.067,131.988,11
Fast Car,Jonas Blue,67,2015,0.644,0.57,-6.994,113.945,9
"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",Flo Rida,67,2015,0.854,0.766,-4.697,118.004,9
Just Lose It,Eminem,67,2004,0.94,0.633,-3.56,121.003,8
Pretty Girl Rock,Keri Hilson,67,2010,0.666,0.87,-5.004,160.014,11
The Edge Of Glory,Lady Gaga,67,2011,0.583,0.768,-6.477,127.952,9
Turn Me On,Kevin Lyttle,67,2004,0.677,0.682,-6.879,106.279,9
I Got U,Duke Dumont,67,2014,0.636,0.761,-7.752,120.837,9
Misery,Maroon 5,67,2010,0.703,0.81,-4.874,102.978,4
Snap Yo Fingers,Lil Jon,67,2006,0.835,0.757,-5.029,82.038,8
Axel F,Crazy Frog,67,2005,0.86,0.907,-3.321,138.045,2
m.A.A.d city,Kendrick Lamar,67,2012,0.487,0.729,-6.815,91.048,2
New Flame (feat. Usher & Rick Ross),Chris Brown,67,2014,0.702,0.629,-4.292,141.967,1
As Long As You Love Me,Justin Bieber,67,2012,0.571,0.873,-3.382,139.691,0
As Good As I Once Was,Toby Keith,67,2005,0.68,0.87,-4.461,119.075,5
Like Toy Soldiers,Eminem,67,2004,0.52,0.768,-3.489,79.178,8
Cheap Thrills (feat. Sean Paul),Sia,67,2016,0.592,0.8,-4.931,89.972,6
Move Ya Body,Nina Sky,67,2004,0.87,0.712,-6.313,121.057,11
Sexy Love,Ne-Yo,67,2006,0.693,0.516,-6.446,94.02,8
Tiimmy Turner,Desiigner,67,2016,0.603,0.725,-3.054,122.803,6
Goodies (feat. Petey Pablo),Ciara,67,2004,0.826,0.647,-6.306,102.017,5
Sexy And I Know It,LMFAO,67,2011,0.707,0.861,-4.225,130.021,7
No Money,Galantis,67,2016,0.671,0.916,-4.014,126.01,6
Goodbye My Lover,James Blunt,67,2005,0.432,0.261,-12.591,89.567,4
More - RedOne Jimmy Joker Remix,Usher,67,2010,0.551,0.893,-2.628,125.083,7
Lean Back,Terror Squad,67,2004,0.783,0.916,-3.344,95.321,1
Stickwitu,The Pussycat Dolls,67,2005,0.548,0.554,-6.408,79.918,9
My Humps,Black Eyed Peas,67,2005,0.802,0.682,-5.924,123.95,1
Photograph,Nickelback,67,2005,0.515,0.876,-3.756,145.916,8
Want U Back,Cher Lloyd,67,2011,0.696,0.893,-2.963,97.954,9
Into You (feat. Tamia),Fabolous,67,2003,0.546,0.538,-7.886,182.12,7
Sorry,Beyoncé,67,2016,0.775,0.598,-7.274,129.988,2
Frontin' (feat. Jay-Z) - Club Mix,Pharrell Williams,67,2003,0.894,0.404,-5.913,102.009,9
Ayo Technology,50 Cent,67,2007,0.63,0.782,-5.44,140.144,8
Shake It,Metro Station,67,2007,0.618,0.955,-3.836,150.034,4
Love Don't Cost a Thing,Jennifer Lopez,67,2001,0.786,0.842,-5.115,97.577,4
Crush,David Archuleta,67,2008,0.57,0.664,-4.718,162.084,0
Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,67,2005,0.904,0.813,-7.105,125.461,4
No Brainer,DJ Khaled,67,2018,0.552,0.76,-4.706,135.702,0
Done for Me (feat. Kehlani),Charlie Puth,67,2018,0.856,0.632,-3.692,112.009,6
Black Widow,Iggy Azalea,67,2014,0.743,0.72,-3.753,163.99,11
German,EO,67,2018,0.862,0.583,-6.26,103.019,8
Birthday Sex,Jeremih,67,2009,0.677,0.523,-5.603,60.019,7
Gecko (Overdrive) - Radio Edit,Oliver Heldens,67,2014,0.609,0.885,-5.469,124.959,0
Oh Boy,Cam’ron,67,2002,0.754,0.767,-5.586,83.014,6
Suit & Tie (feat. Jay-Z),Justin Timberlake,67,2013,0.795,0.596,-3.799,101.985,11
Ruby,Kaiser Chiefs,67,2007,0.451,0.939,-2.82,93.416,5
Better in Time,Leona Lewis,67,2007,0.584,0.7,-4.251,163.953,6
Candyman,Christina Aguilera,66,2006,0.686,0.789,-4.713,172.976,8
Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,Benny Benassi,66,2003,0.793,0.698,-3.626,130.017,11
Hypnotized (feat. Akon),Plies,66,2007,0.84,0.571,-7.421,116.59,10
Princess of China,Coldplay,66,2011,0.42,0.69,-6.221,85.014,9
"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,66,2015,0.261,0.302,-8.19,81.418,5
Teach Me How to Dougie,Cali Swag District,66,2011,0.846,0.438,-4.981,85.013,11
Let It Rock,Kevin Rudolf,66,2008,0.607,0.783,-4.41,113.172,7
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,66,2012,0.492,0.857,-2.634,129.973,7
Talking Body,Tove Lo,66,2014,0.736,0.761,-5.449,119.999,4
Daylight,Maroon 5,66,2012,0.656,0.674,-5.473,120.001,7
It's Goin' Down (feat. Nitti),Yung Joc,66,2006,0.888,0.577,-7.702,84.003,1
Whole Again,Atomic Kitten,66,2001,0.747,0.706,-4.653,94.019,4
Final Song,MØ,66,2016,0.695,0.672,-6.109,104.988,1
Love Lockdown,Kanye West,66,2008,0.76,0.524,-7.67,119.603,1
What's My Name?,Rihanna,66,2010,0.692,0.786,-2.959,100.025,2
Obsessed,Mariah Carey,66,2009,0.742,0.468,-5.557,86.443,10
This Is What It Feels Like,Armin van Buuren,66,2013,0.551,0.833,-5.217,129.885,8
One Way or Another (Teenage Kicks),One Direction,66,2013,0.489,0.867,-3.121,162.131,4
Scream,Usher,66,2012,0.616,0.862,-5.18,127.992,7
Berzerk,Eminem,66,2013,0.739,0.872,-4.059,95.084,11
Like You (feat. Ciara),Bow Wow,66,2005,0.714,0.6,-8.365,82.017,6
Overnight Celebrity,Twista,66,2004,0.828,0.792,-5.435,134.199,10
The Way You Move (feat. Sleepy Brown),Outkast,66,2003,0.871,0.597,-4.932,125.999,5
Stereo Love - Radio Edit,Edward Maya,66,2010,0.799,0.783,-3.896,127.041,1
Easy Love,Sigala,66,2018,0.68,0.942,-4.208,123.976,9
Take Me Back to London (feat. Stormzy),Ed Sheeran,66,2019,0.885,0.762,-5.513,138.058,8
If Today Was Your Last Day,Nickelback,66,2008,0.485,0.911,-5.749,89.956,3
Anaconda,Nicki Minaj,66,2014,0.964,0.605,-6.223,129.994,9
Let's Go (feat. Ne-Yo),Calvin Harris,66,2012,0.71,0.882,-2.932,128.016,4
The Ketchup Song (Aserejé) - Spanglish Version,Las Ketchup,66,2002,0.607,0.923,-6.777,184.819,1
Bailando - Spanish Version,Enrique Iglesias,66,2014,0.718,0.792,-3.519,90.949,7
About You Now,Sugababes,66,2007,0.584,0.699,-6.065,82.499,1
I'm Real (feat. Ja Rule) - Murder Remix,Jennifer Lopez,66,2001,0.708,0.587,-7.93,83.46,11
I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,Mario Winans,66,2016,0.833,0.515,-5.0,97.007,11
Wiggle (feat. Snoop Dogg),Jason Derulo,66,2013,0.697,0.621,-6.886,81.946,9
Summer Love,Justin Timberlake,66,2006,0.606,0.591,-7.228,95.802,0
Here,Alessia Cara,66,2016,0.376,0.822,-3.974,120.493,0
If I Were a Boy,Beyoncé,66,2008,0.632,0.518,-6.126,90.007,6
I Wanna Go,Britney Spears,66,2011,0.696,0.546,-6.55,130.002,5
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,66,2014,0.76,0.886,-5.356,123.002,9
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,66,2018,0.713,0.831,-4.75,173.948,1
Five More Hours,Deorro,66,2015,0.699,0.883,-3.226,127.961,5
Ridin' Solo,Jason Derulo,66,2010,0.442,0.83,-4.02,89.338,9
Lovers And Friends,Lil Jon & The East Side Boyz,66,2004,0.675,0.501,-6.183,139.861,10
Waiting All Night (feat. Ella Eyre),Rudimental,66,2013,0.544,0.728,-5.358,174.983,6
Hero (feat. Josey Scott),Chad Kroeger,66,2003,0.427,0.843,-4.54,147.387,4
Somebody,Natalie La Rose,66,2014,0.83,0.52,-8.714,104.99,0
He Wasn't Man Enough,Toni Braxton,66,2000,0.739,0.947,-1.916,88.009,11
Ride,Lana Del Rey,66,2012,0.373,0.686,-5.52,93.763,0
Lucky,Britney Spears,65,2000,0.765,0.791,-5.707,95.026,8
Call Me When You're Sober,Evanescence,65,2006,0.45,0.883,-4.094,93.41,7
Magic (feat. Rivers Cuomo),B.o.B,65,2010,0.549,0.932,-4.11,82.439,8
Take You There,Sean Kingston,65,2008,0.752,0.921,-4.321,115.033,5
Left Outside Alone,Anastacia,65,2004,0.663,0.746,-3.567,102.847,2
"Slow Down - 12"" Version",Bobby V.,65,2005,0.568,0.732,-4.896,186.048,11
Something,Lasgo,65,2001,0.643,0.981,-6.644,140.01,7
The Tide Is High - Radio Mix,Atomic Kitten,65,2002,0.783,0.649,-4.127,103.997,7
17,MK,65,2017,0.703,0.832,-7.202,122.029,0
I Wanna Know,Joe,65,2000,0.725,0.487,-5.959,136.086,8
The Way,Ariana Grande,65,2013,0.645,0.878,-3.208,82.324,5
Wide Awake,Katy Perry,65,2012,0.514,0.683,-5.099,159.814,5
In My Head,Jason Derulo,65,2010,0.762,0.748,-4.15,110.009,0
Back To December,Taylor Swift,65,2010,0.529,0.67,-4.663,141.893,2
Hotter Than Hell,Dua Lipa,65,2017,0.532,0.868,-4.23,110.127,3
Liar,Camila Cabello,65,2019,0.74,0.498,-6.684,98.016,11
E.T.,Katy Perry,65,2012,0.62,0.869,-5.252,151.684,1
Save The World,Swedish House Mafia,65,2011,0.507,0.665,-7.598,126.879,0
Motivation,Kelly Rowland,65,2011,0.744,0.672,-5.589,140.889,9
Till the World Ends,Britney Spears,65,2011,0.693,0.705,-5.747,131.951,8
Good Grief,Bastille,65,2016,0.73,0.758,-4.888,120.041,1
Young Forever,JAY-Z,65,2009,0.637,0.69,-3.214,140.329,9
When We Stand Together,Nickelback,65,2011,0.446,0.9,-3.541,187.961,10
Closer,Ne-Yo,65,2008,0.709,0.745,-6.437,126.027,4
"Read All About It, Pt. III",Emeli Sandé,65,2012,0.63,0.44,-7.186,98.082,2
Get Right,Jennifer Lopez,65,2005,0.741,0.759,-5.096,97.084,0
Savin' Me,Nickelback,65,2005,0.441,0.815,-4.088,164.007,3
Fight For This Love,Cheryl,65,2009,0.739,0.741,-5.873,122.988,7
Turn Me On (feat. Nicki Minaj),David Guetta,65,2012,0.704,0.793,-2.266,127.96,8
Release Me,Agnes,65,2009,0.621,0.923,-3.124,127.973,2
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,65,2018,0.792,0.895,-3.112,94.968,1
All The Right Moves,OneRepublic,65,2009,0.529,0.948,-3.527,146.024,0
Blame It,Jamie Foxx,65,2008,0.673,0.614,-5.426,176.052,7
Who Let The Dogs Out,Baha Men,65,2000,0.869,0.887,-4.505,129.221,0
Started From the Bottom,Drake,65,2013,0.794,0.523,-7.829,86.307,8
Golden Skans,Klaxons,65,2007,0.463,0.836,-2.776,141.955,2
Dirty Little Secret,The All-American Rejects,65,2005,0.469,0.955,-4.253,143.853,10
Do It To It,Cherish,65,2006,0.826,0.67,-5.559,74.007,2
Thinking About You (feat. Ayah Marar),Calvin Harris,65,2012,0.725,0.874,-3.715,127.985,0
Pjanoo - Radio Edit,Eric Prydz,65,2008,0.605,0.874,-4.949,125.99,7
Wish You Were Mine - Radio Edit,Philip George,65,2014,0.654,0.832,-4.164,123.002,7
I Will Never Let You Down,Rita Ora,65,2014,0.753,0.801,-3.215,128.011,4
Good Girls Go Bad (feat. Leighton Meester),Cobra Starship,65,2009,0.594,0.874,-3.716,119.964,0
Differences,Ginuwine,65,2001,0.562,0.594,-4.578,62.876,3
Beautiful,Akon,65,2008,0.74,0.945,-4.442,130.015,0
All I Ever Wanted - Radio Edit,Basshunter,65,2008,0.645,0.984,-7.051,144.954,4
Rock Wit U (Awww Baby),Ashanti,65,2003,0.71,0.797,-3.006,94.998,4
Bye Bye Bye,*NSYNC,65,2000,0.614,0.928,-4.806,172.656,8
Cry for You,September,65,2007,0.767,0.881,-3.988,130.018,9
Jai Ho! (You Are My Destiny),A.R. Rahman,65,2009,0.657,0.941,-3.919,136.202,8
Mad World (Feat. Michael Andrews),Gary Jules,65,2001,0.345,0.0581,-17.217,174.117,3
"Independent Women, Pt. 1",Destiny's Child,65,2001,0.73,0.602,-3.782,97.954,6
Lola's Theme - Radio Edit,The Shapeshifters,65,2004,0.748,0.845,-4.612,123.925,5
Can't Fight The Moonlight,LeAnn Rimes,65,2001,0.628,0.834,-6.341,97.865,6
The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,65,2011,0.683,0.734,-4.523,106.254,4
Little L,Jamiroquai,65,2001,0.878,0.724,-5.373,121.906,10
All For You,Janet Jackson,65,2001,0.753,0.934,-3.011,113.525,2
Fuck It (I Don't Want You Back),Eamon,64,2004,0.828,0.653,-6.245,68.507,0
Slow Motion,JUVENILE,64,2003,0.713,0.734,-4.894,172.872,0
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,64,2019,0.746,0.787,-6.373,95.005,4
Ugly Heart,G.R.L.,64,2014,0.65,0.786,-5.488,124.96,9
Bed,J. Holiday,64,2007,0.684,0.606,-7.268,127.901,5
Feel the Love (feat. John Newman),Rudimental,64,2013,0.389,0.706,-6.849,179.911,1
Lost,Frank Ocean,64,2012,0.913,0.603,-4.892,123.061,8
Turn Up the Music,Chris Brown,64,2012,0.594,0.841,-5.792,129.925,1
