song,artist,popularity,release_year,danceability,energy,loudness,tempo,key
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,79,2017,0.893,0.745,-3.105,101.018,11
I Like It,Cardi B,79,2018,0.816,0.726,-3.998,136.048,5
Let You Down,NF,79,2017,0.662,0.714,-5.68,147.997,5
changes,XXXTENTACION,79,2018,0.669,0.308,-10.068,64.934,11
Yes Indeed,Lil Baby,79,2018,0.963,0.346,-9.309,119.957,5
Be Alright,Dean Lewis,79,2018,0.553,0.586,-6.319,126.684,11
Old Town Road - Remix,Lil Nas X,79,2019,0.878,0.619,-5.56,136.041,6
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,79,2019,0.755,0.522,-4.368,89.96,2
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,79,2018,0.601,0.794,-5.844,114.066,7
Con Calma,Daddy Yankee,79,2019,0.737,0.86,-2.652,93.989,8
Wow.,Post Malone,79,2019,0.829,0.539,-7.359,99.96,11
Don't Start Now,Dua Lipa,79,2019,0.794,0.793,-4.521,123.941,11
Sucker,Jonas Brothers,79,2019,0.842,0.734,-5.065,137.958,1
Pink + White,Frank Ocean,79,2016,0.544,0.552,-7.45,159.738,9
Cake By The Ocean,DNCE,79,2016,0.774,0.753,-5.446,119.002,4
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,79,2016,0.728,0.563,-8.053,100.017,1
Animals,Maroon 5,79,2014,0.279,0.742,-6.46,189.868,4
Feel So Close - Radio Edit,Calvin Harris,79,2012,0.707,0.924,-2.842,127.937,7
Titanium (feat. Sia),David Guetta,79,2012,0.604,0.787,-3.674,126.062,0
Heart Attack,Demi Lovato,79,2013,0.504,0.785,-4.802,173.968,8
Little Talks,Of Monsters and Men,79,2012,0.457,0.757,-5.177,102.961,1
Still into You,Paramore,79,2013,0.602,0.923,-3.763,136.01,5
"Happy - From ""Despicable Me 2""",Pharrell Williams,79,2014,0.647,0.822,-4.662,160.019,5
Steal My Girl,One Direction,79,2014,0.536,0.768,-5.948,77.217,10
This Is What You Came For (feat. Rihanna),Calvin Harris,79,2016,0.631,0.927,-2.787,123.962,9
Shake It Off,Taylor Swift,79,2014,0.647,0.8,-5.384,160.078,7
Like I Can,Sam Smith,79,2014,0.656,0.627,-6.627,99.933,7
Drag Me Down,One Direction,79,2015,0.73,0.703,-5.672,138.113,0
Can't Feel My Face,The Weeknd,79,2015,0.705,0.769,-5.526,107.949,9
One Last Time,Ariana Grande,79,2014,0.628,0.593,-5.036,125.026,8
Don't Let Me Down,The Chainsmokers,79,2016,0.532,0.869,-5.094,159.803,11
Clocks,Coldplay,79,2002,0.577,0.749,-7.215,130.97,5
Not Afraid,Eminem,79,2010,0.855,0.954,-1.19,114.635,0
FRIENDS,Marshmello,78,2018,0.626,0.88,-2.384,95.079,9
Die Young,Kesha,78,2012,0.711,0.7,-4.805,128.001,1
Location (feat. Burna Boy),Dave,78,2019,0.812,0.496,-5.969,109.979,9
It's My Life,Bon Jovi,78,2000,0.551,0.913,-4.063,119.992,0
